Date,Open,High,Low,Close,Volume
2018-12-21 10:55:00,1.07,1.07,1.065,1.065,6500
2018-12-21 11:00:00,1.07,1.07,1.07,1.07,2410
2018-12-21 11:05:00,1.07,1.07,1.07,1.07,2410
2018-12-21 11:10:00,1.07,1.07,1.07,1.07,2410
2018-12-21 11:15:00,1.07,1.07,1.07,1.07,615
2018-12-21 11:20:00,1.07,1.07,1.07,1.07,615
2018-12-21 11:25:00,1.07,1.07,1.07,1.07,615
2018-12-21 11:30:00,1.0699,1.07,1.0691,1.07,1800
2018-12-21 11:35:00,1.0699,1.07,1.0691,1.07,1800
2018-12-21 11:40:00,1.0699,1.07,1.0691,1.07,1800
2018-12-21 11:45:00,1.065,1.13,1.065,1.13,7378
2018-12-21 11:50:00,1.065,1.13,1.065,1.13,7378
2018-12-21 11:55:00,1.065,1.13,1.065,1.13,7378
2018-12-21 12:00:00,1.13,1.14,1.13,1.14,1116
2018-12-21 12:05:00,1.13,1.14,1.13,1.14,1116
2018-12-21 12:10:00,1.13,1.14,1.13,1.14,1116
2018-12-21 12:15:00,1.13,1.14,1.13,1.14,1116
2018-12-21 12:20:00,1.13,1.14,1.13,1.14,1116
2018-12-21 12:25:00,1.13,1.14,1.13,1.14,1116
2018-12-21 12:30:00,1.13,1.1365,1.1,1.1365,12679
2018-12-21 12:35:00,1.13,1.1365,1.1,1.1365,12679
2018-12-21 12:40:00,1.13,1.1365,1.1,1.1365,12679
2018-12-21 12:45:00,1.14,1.14,1.1,1.12,1502
2018-12-21 12:50:00,1.14,1.14,1.1,1.12,1502
2018-12-21 12:55:00,1.14,1.14,1.1,1.12,1502
2018-12-21 13:00:00,1.1386,1.1386,1.091,1.1272,1644
2018-12-21 13:05:00,1.1386,1.1386,1.091,1.1272,1644
2018-12-21 13:10:00,1.1386,1.1386,1.091,1.1272,1644
2018-12-21 13:15:00,1.12,1.1286,1.12,1.1286,1000
2018-12-21 13:20:00,1.12,1.1286,1.12,1.1286,1000
2018-12-21 13:25:00,1.12,1.1286,1.12,1.1286,1000
2018-12-21 13:30:00,1.1272,1.1272,1.1272,1.1272,600
2018-12-21 13:35:00,1.1272,1.1272,1.1272,1.1272,600
2018-12-21 13:40:00,1.1272,1.1272,1.1272,1.1272,600
2018-12-21 13:45:00,1.1001,1.1279,1.1001,1.1279,2000
